"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2023","1,916.8","1,899.0","1,928.2","1,897.9","","0.95%"
"08/31/2023","1,898.8","1,902.2","1,912.7","1,895.7","","-0.17%"
"08/30/2023","1,902.0","1,893.2","1,907.2","1,884.2","","0.46%"
"08/29/2023","1,893.3","1,868.2","1,895.2","1,856.8","","1.34%"
"08/28/2023","1,868.3","1,854.2","1,879.0","1,850.7","","0.77%"
"08/27/2023","1,854.1","1,853.2","1,855.2","1,853.0","","0.23%"
"08/25/2023","1,849.9","1,846.5","1,861.7","1,827.3","","0.19%"
"08/24/2023","1,846.3","1,870.7","1,878.0","1,842.2","","-1.31%"
"08/23/2023","1,870.8","1,852.9","1,873.8","1,846.6","","0.97%"
"08/22/2023","1,852.8","1,854.3","1,869.3","1,844.6","","-0.08%"
"08/21/2023","1,854.3","1,861.2","1,868.5","1,843.3","","-0.38%"
"08/20/2023","1,861.3","1,859.0","1,861.8","1,858.7","","0.22%"
"08/18/2023","1,857.3","1,850.8","1,865.8","1,832.7","","0.35%"
"08/17/2023","1,850.8","1,869.8","1,883.5","1,847.0","","-1.04%"
"08/16/2023","1,870.2","1,899.3","1,906.4","1,869.2","","-1.54%"
"08/15/2023","1,899.4","1,922.6","1,925.7","1,893.5","","-1.18%"
"08/14/2023","1,922.1","1,925.7","1,930.8","1,899.2","","-0.19%"
"08/13/2023","1,925.8","1,923.2","1,927.6","1,922.8","","0.11%"
"08/11/2023","1,923.6","1,922.9","1,930.1","1,910.3","","0.04%"
"08/10/2023","1,922.8","1,933.5","1,955.4","1,912.5","","-0.57%"
"08/09/2023","1,933.8","1,942.0","1,956.4","1,922.2","","-0.41%"
"08/08/2023","1,941.8","1,956.2","1,956.3","1,916.8","","-0.72%"
"08/07/2023","1,955.8","1,956.1","1,965.5","1,939.3","","-0.02%"
"08/06/2023","1,956.2","1,954.5","1,957.2","1,953.6","","0.14%"
"08/04/2023","1,953.4","1,957.7","1,976.2","1,947.6","","-0.22%"
"08/03/2023","1,957.8","1,969.8","1,971.5","1,943.8","","-0.61%"
"08/02/2023","1,969.9","1,983.8","1,988.0","1,954.8","","-0.69%"
"08/01/2023","1,983.6","2,003.4","2,006.4","1,972.2","","-0.99%"
"07/31/2023","2,003.5","1,980.4","2,005.2","1,972.1","","1.16%"
"07/30/2023","1,980.5","1,979.2","1,983.7","1,978.6","","0.14%"
"07/28/2023","1,977.8","1,951.7","1,983.0","1,946.4","","1.34%"
"07/27/2023","1,951.7","1,975.3","1,999.3","1,944.9","","-1.21%"
"07/26/2023","1,975.7","1,968.2","1,986.0","1,959.1","","0.38%"
"07/25/2023","1,968.2","1,962.8","1,976.5","1,957.5","","0.28%"
"07/24/2023","1,962.8","1,954.4","1,976.3","1,953.5","","0.42%"
"07/23/2023","1,954.5","1,957.2","1,957.8","1,953.6","","-0.07%"
"07/21/2023","1,955.8","1,967.2","1,981.6","1,954.8","","-0.58%"
"07/20/2023","1,967.2","1,981.5","1,993.0","1,957.5","","-0.72%"
"07/19/2023","1,981.4","1,976.3","1,991.8","1,969.2","","0.25%"
"07/18/2023","1,976.5","1,947.5","1,978.8","1,944.0","","1.49%"
"07/17/2023","1,947.5","1,924.8","1,959.2","1,924.5","","1.16%"
"07/16/2023","1,925.2","1,929.4","1,929.5","1,924.0","","-0.19%"
"07/14/2023","1,928.8","1,947.7","1,950.7","1,918.0","","-1.00%"
"07/13/2023","1,948.3","1,936.9","1,952.7","1,933.7","","0.57%"
"07/12/2023","1,937.2","1,913.9","1,951.1","1,913.0","","1.22%"
"07/11/2023","1,913.9","1,898.2","1,916.3","1,892.0","","0.83%"
"07/10/2023","1,898.2","1,859.1","1,898.2","1,845.7","","2.10%"
"07/09/2023","1,859.1","1,861.2","1,861.3","1,855.3","","-0.06%"
"07/07/2023","1,860.2","1,838.7","1,878.2","1,831.1","","1.17%"
"07/06/2023","1,838.7","1,868.7","1,869.2","1,819.3","","-1.60%"
"07/05/2023","1,868.6","1,892.0","1,894.4","1,868.2","","-1.23%"
"07/04/2023","1,891.8","1,893.0","1,897.5","1,890.8","","-0.06%"
"07/03/2023","1,893.0","1,888.2","1,903.5","1,882.5","","0.28%"
"07/02/2023","1,887.8","1,886.8","1,890.4","1,885.5","","0.09%"
"06/30/2023","1,886.1","1,882.9","1,900.2","1,880.0","","0.17%"
